[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=16 | tokens_awal=3 | stopwords_dihapus=1 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=6 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=735 | tokens_awal=89 | stopwords_dihapus=29 | token_di-stem=17 | token_akhir=60
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=10 | panjang_profil=494 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=12 | title='Kintun Kuthomoro' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=16 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1153 | tokens_awal=151 | stopwords_dihapus=53 | token_di-stem=19 | token_akhir=98
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=12 | panjang_profil=802 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=13 | title='Kotabaru Ceria' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=14 | tokens_awal=2 | stopwords_dihapus=1 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=489 | tokens_awal=63 | stopwords_dihapus=31 | token_di-stem=3 | token_akhir=32
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=13 | panjang_profil=326 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=19 | title='Kampung Ramadan Jogokariyan' | category='Culinary'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=27 | tokens_awal=3 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=11 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=396 | tokens_awal=48 | stopwords_dihapus=21 | token_di-stem=5 | token_akhir=27
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=19 | panjang_profil=344 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=23 | title='Public Lecture #1 Menuju Tahta Sri Sulta' | category='Educational'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=62 | tokens_awal=9 | stopwords_dihapus=1 | token_di-stem=1 | token_akhir=8
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=11 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=798 | tokens_awal=106 | stopwords_dihapus=33 | token_di-stem=20 | token_akhir=73
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=23 | panjang_profil=718 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=24 | title='Gladi Resik Prajurit' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=20 | tokens_awal=3 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=696 | tokens_awal=89 | stopwords_dihapus=30 | token_di-stem=15 | token_akhir=59
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=24 | panjang_profil=557 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=34 | title='Public Lecture #2 Aparatur Seni di Kerat' | category='Educational'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=53 | tokens_awal=7 | stopwords_dihapus=2 | token_di-stem=0 | token_akhir=5
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=11 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1032 | tokens_awal=91 | stopwords_dihapus=40 | token_di-stem=19 | token_akhir=51
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=34 | panjang_profil=581 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=1 | title='Festival Urup' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=388 | tokens_awal=36 | stopwords_dihapus=17 | token_di-stem=4 | token_akhir=19
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=1 | panjang_profil=247 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=4 | title='Public Lecture #4: Pendidikan Perempuan ' | category='Educational'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=44 | tokens_awal=5 | stopwords_dihapus=1 | token_di-stem=1 | token_akhir=4
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=11 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1461 | tokens_awal=143 | stopwords_dihapus=62 | token_di-stem=36 | token_akhir=81
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=4 | panjang_profil=731 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=11 | title='Public Lecture #2 Sri Sultan Hamengku Bu' | category='Educational'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=76 | tokens_awal=10 | stopwords_dihapus=2 | token_di-stem=1 | token_akhir=8
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=11 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=801 | tokens_awal=99 | stopwords_dihapus=32 | token_di-stem=18 | token_akhir=67
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=11 | panjang_profil=730 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=14 | title='Jogja Brebeg' | category='Cultural'
